render_frame,replay_frame,delta_ms,instant_fps,engine_fps,process_ms,physics_ms,video_mb,texture_mb,buffer_mb,static_mb,objects,nodes,orphans,draw_calls,tweens
1,0,51.8313333333338,19.2933489395088,2.0,51.918,0.01,0.0,0.0,0.0,244.418218612671,6058,2762,0,0,2
2,0,19.5769999999996,51.0803493895909,2.0,51.918,0.01,0.0,0.0,0.0,244.419733047485,6058,2762,0,0,2
3,0,22.8063333333333,43.847469270232,2.0,51.918,0.01,0.0,0.0,0.0,244.423109054565,6058,2762,0,0,2
4,1,19.829,50.4311866458218,2.0,51.918,0.01,0.0,0.0,0.0,244.424516677856,6058,2762,0,0,2
5,1,13.979,71.5358752414336,2.0,51.918,0.01,0.0,0.0,0.0,244.439054489136,6065,2763,0,0,4
6,1,14.051,71.169311792755,2.0,51.918,0.01,0.0,0.0,0.0,244.44041633606,6065,2763,0,0,4
7,1,14.023,71.3114169578549,2.0,51.918,0.01,0.0,0.0,0.0,244.441915512085,6065,2763,0,0,4
8,1,13.865,72.1240533717995,2.0,51.918,0.01,0.0,0.0,0.0,244.443277359009,6065,2763,0,0,4
9,1,14.172,70.5616709003669,2.0,51.918,0.01,0.0,0.0,0.0,244.444639205933,6065,2763,0,0,4
10,2,13.637,73.3299112708074,2.0,51.918,0.01,0.0,0.0,0.0,244.456964492798,6072,2764,0,0,6
11,2,13.896,71.9631548647093,2.0,51.918,0.01,0.0,0.0,0.0,244.458326339722,6072,2764,0,0,6
12,2,16.6666666666667,60.0,2.0,51.918,0.01,0.0,0.0,0.0,244.459688186646,6072,2764,0,0,6
13,2,16.1733333333333,61.8301731244848,2.0,51.918,0.01,0.0,0.0,0.0,244.461050033569,6072,2764,0,0,6
14,2,13.974,71.56147130385,2.0,51.918,0.01,0.0,0.0,0.0,244.462686538696,6072,2764,0,0,6
15,2,13.409,74.5767767917071,2.0,51.918,0.01,0.0,0.0,0.0,244.46404838562,6072,2764,0,0,6
16,2,13.965,71.6075904045829,2.0,51.918,0.01,0.0,0.0,0.0,244.465410232544,6072,2764,0,0,6
17,3,14.509,68.9227376111379,2.0,51.918,0.01,0.0,0.0,0.0,244.477613449097,6079,2765,0,0,8
18,3,13.458,74.3052459503641,2.0,51.918,0.01,0.0,0.0,0.0,244.478242874146,6078,2765,0,0,7
19,3,13.816,72.3798494499131,2.0,51.918,0.01,0.0,0.0,0.0,244.478391647339,6076,2765,0,0,6
20,3,13.991,71.4745193338575,2.0,51.918,0.01,0.0,0.0,0.0,244.480165481567,6076,2765,0,0,6
21,3,13.692,73.0353491089687,2.0,51.918,0.01,0.0,0.0,0.0,244.481527328491,6076,2765,0,0,6
22,3,13.936,71.7566016073479,2.0,51.918,0.01,0.0,0.0,0.0,244.482889175415,6076,2765,0,0,6
23,3,15.9080000000004,62.8614533567999,2.0,51.918,0.01,0.0,0.0,0.0,244.484251022339,6076,2765,0,0,6
24,4,14.2857142857143,70.0,2.0,51.918,0.01,0.0,0.0,0.0,244.485612869263,6076,2765,0,0,6
25,4,14.2857142857143,70.0,2.0,51.918,0.01,0.0,0.0,0.0,244.486974716187,6076,2765,0,0,6
26,4,14.2857142857143,70.0,2.0,51.918,0.01,0.0,0.0,0.0,244.48833656311,6076,2765,0,0,6
27,4,14.2857142857143,70.0,2.0,51.918,0.01,0.0,0.0,0.0,244.489698410034,6076,2765,0,0,6
28,4,14.2857142857143,70.0,2.0,51.918,0.01,0.0,0.0,0.0,244.490327835083,6075,2765,0,0,5
29,4,14.1954285714281,70.4452137509078,2.0,51.918,0.01,0.0,0.0,0.0,244.490385055542,6072,2765,0,0,3
30,4,14.3760000000004,69.5603784084565,2.0,51.918,0.01,0.0,0.0,0.0,244.490533828735,6070,2765,0,0,2
31,5,16.6666666666667,60.0,2.0,51.918,0.01,0.0,0.0,0.0,245.522771835327,6542,2864,0,0,66
32,5,14.4579999999996,69.1658597316385,2.0,51.918,0.01,0.0,0.0,0.0,245.53212928772,6542,2864,0,0,66
33,5,14.427,69.3144797948291,2.0,51.918,0.01,0.0,0.0,0.0,245.620866775513,6587,2873,0,0,72
34,5,14.5833333333333,68.5714285714286,2.0,51.918,0.01,0.0,0.0,0.0,245.747652053833,6617,2879,0,0,76
35,5,14.5833333333333,68.5714285714286,2.0,51.918,0.01,0.0,0.0,0.0,245.805879592896,6661,2889,0,0,82
36,5,14.5833333333333,68.5714285714286,2.0,51.918,0.01,0.0,0.0,0.0,245.864427566528,6697,2898,0,0,85
37,5,14.5833333333333,68.5714285714286,2.0,51.918,0.01,0.0,0.0,0.0,245.875635147095,6698,2899,0,0,83
38,6,16.4973333333333,60.6158571082195,2.0,51.918,0.01,0.0,0.0,0.0,246.13910484314,6835,2908,0,0,104
39,6,20.739,48.2183326100583,58.0,48.866,0.02,0.0,0.0,0.0,246.133771896362,6837,2904,0,0,104
40,6,14.8148148148148,67.5,58.0,48.866,0.02,0.0,0.0,0.0,246.172025680542,6849,2906,0,0,102
41,6,15.0,66.6666666666667,58.0,48.866,0.02,0.0,0.0,0.0,246.158380508423,6829,2905,0,0,93
42,6,15.1515151515152,66.0,58.0,48.866,0.02,0.0,0.0,0.0,246.192838668823,6840,2911,0,0,88
43,6,13.9123367003371,71.878651411288,58.0,48.866,0.02,0.0,0.0,0.0,246.165826797485,6818,2907,0,0,84
44,7,18.1273333333329,55.1653120517831,58.0,48.866,0.02,0.0,0.0,0.0,246.194421768188,6820,2907,0,0,84
45,7,16.6666666666667,60.0,58.0,48.866,0.02,0.0,0.0,0.0,246.168821334839,6805,2903,0,0,82
46,7,16.6666666666667,60.0,58.0,48.866,0.02,0.0,0.0,0.0,246.176622390747,6810,2902,0,0,83
47,7,16.6666666666667,60.0,58.0,48.866,0.02,0.0,0.0,0.0,246.171049118042,6803,2901,0,0,81
48,7,16.6666666666667,60.0,58.0,48.866,0.02,0.0,0.0,0.0,246.164842605591,6789,2901,0,0,76
49,7,16.6666666666667,60.0,58.0,48.866,0.02,0.0,0.0,0.0,246.175519943237,6808,2901,0,0,81
50,8,16.6666666666667,60.0,58.0,48.866,0.02,0.0,0.0,0.0,246.11346244812,6776,2893,0,0,82
51,8,16.6666666666667,60.0,58.0,48.866,0.02,0.0,0.0,0.0,246.129529953003,6783,2895,0,0,83
52,8,16.493,60.6317831807433,58.0,48.866,0.02,0.0,0.0,0.0,246.03249168396,6735,2884,0,0,83
53,8,14.049,71.1794433767528,58.0,48.866,0.02,0.0,0.0,0.0,246.028093338013,6725,2884,0,0,80
54,8,13.592,73.5726898175397,58.0,48.866,0.02,0.0,0.0,0.0,246.028364181519,6723,2884,0,0,79
55,8,14.621,68.3947746392176,58.0,48.866,0.02,0.0,0.0,0.0,245.996126174927,6709,2880,0,0,79
56,8,13.941,71.7308657915501,58.0,48.866,0.02,0.0,0.0,0.0,245.992052078247,6699,2880,0,0,76
57,9,14.609,68.4509548908207,58.0,48.866,0.02,0.0,0.0,0.0,245.972700119019,6683,2878,0,0,74
58,9,14.208,70.3828828828829,58.0,48.866,0.02,0.0,0.0,0.0,245.932611465454,6660,2874,0,0,73
59,9,14.634,68.3340166735001,58.0,48.866,0.02,0.0,0.0,0.0,245.931997299194,6657,2874,0,0,71
60,9,14.2857142857143,70.0,58.0,48.866,0.02,0.0,0.0,0.0,245.880662918091,6629,2868,0,0,67
61,9,14.2857142857143,70.0,58.0,48.866,0.02,0.0,0.0,0.0,245.866033554077,6620,2866,0,0,67
62,9,14.2857142857143,70.0,58.0,48.866,0.02,0.0,0.0,0.0,245.761449813843,6570,2854,0,0,65
63,9,14.2857142857143,70.0,58.0,48.866,0.02,0.0,0.0,0.0,245.679349899292,6520,2846,0,0,61
64,10,14.2857142857143,70.0,58.0,48.866,0.02,0.0,0.0,0.0,245.69721031189,6529,2848,0,0,61
65,10,14.2857142857143,70.0,58.0,48.866,0.02,0.0,0.0,0.0,245.682668685913,6520,2846,0,0,61
66,10,14.2857142857143,70.0,58.0,48.866,0.02,0.0,0.0,0.0,245.68007850647,6514,2846,0,0,57
67,10,14.2857142857143,70.0,58.0,48.866,0.02,0.0,0.0,0.0,245.649610519409,6496,2842,0,0,58
68,10,14.2857142857143,70.0,58.0,48.866,0.02,0.0,0.0,0.0,245.662553787231,6503,2843,0,0,62
69,10,14.2857142857143,70.0,58.0,48.866,0.02,0.0,0.0,0.0,245.663915634155,6503,2843,0,0,62
