render_frame,replay_frame,delta_ms,instant_fps,engine_fps,process_ms,physics_ms,video_mb,texture_mb,buffer_mb,static_mb,objects,nodes,orphans,draw_calls,tweens
1,0,141.803666666667,7.05200382688741,12.0,142.007,0.098,270.257934570312,167.863342285156,42.351619720459,187.196513175964,5952,2763,0,485,2
2,2,113.143,8.83837267882238,12.0,142.007,0.098,270.251724243164,167.863342285156,42.3454666137695,187.232634544373,5966,2765,0,486,6
3,3,112.918,8.85598398838095,12.0,231.174,0.116,270.251922607422,167.863342285156,42.3456611633301,187.391062736511,5973,2766,0,486,8
5,5,116.666666666667,8.57142857142857,2.0,1138.179,0.09,270.269622802734,167.863342285156,42.3630027770996,188.592146873474,6400,2858,0,529,58
6,7,104.70866666667,9.55030783825572,2.0,1138.179,0.09,270.269622802734,167.863342285156,42.3630027770996,188.86581325531,6476,2858,0,574,62
7,8,78.6246666666638,12.7186548750609,2.0,1138.179,0.09,270.269622802734,167.863342285156,42.3630027770996,188.724371910095,6403,2844,0,562,51
8,8,66.6666666666667,15.0,2.0,1138.179,0.09,270.264129638672,167.863342285156,42.3575859069824,188.534472465515,6306,2830,0,550,40
9,9,83.3333333333333,12.0,2.0,1138.179,0.09,270.254364013672,167.863342285156,42.3479423522949,188.474940299988,6272,2825,0,549,41
10,10,68.4756666666696,14.6037278449273,2.0,1138.179,0.09,270.254165649414,167.863342285156,42.3477478027344,188.437739372253,6248,2821,0,548,40
11,11,73.3333333333333,13.6363636363636,2.0,1138.179,0.09,270.259048461914,167.863342285156,42.3525695800781,188.626688957214,6285,2830,0,543,43
12,11,75.0,13.3333333333333,2.0,1138.179,0.09,270.259994506836,167.863342285156,42.3535003662109,188.759860038757,6335,2844,0,543,46
13,12,73.0876666666667,13.6821990030238,2.0,1138.179,0.09,270.260543823242,167.863342285156,42.3540420532227,188.694907188416,6301,2824,0,546,43
14,13,72.9166666666667,13.7142857142857,2.0,1138.179,0.09,270.259826660156,167.863342285156,42.3534355163574,188.821074485779,6339,2829,0,512,46
15,14,134.825,7.41702206564065,10.0,139.914,0.122,270.260696411133,167.863342285156,42.3542709350586,189.832102775574,6542,2842,0,519,87
16,15,129.986666666667,7.69309672786953,10.0,139.914,0.122,270.860412597656,167.863342285156,42.953296661377,190.921139717102,6652,2901,0,523,87
17,16,105.70833333333,9.4599921166735,10.0,139.914,0.122,270.858520507812,167.863342285156,42.9514312744141,190.91339969635,6631,2905,0,530,39
18,17,85.5746666666696,11.6857013757962,10.0,139.914,0.122,270.86296081543,167.863342285156,42.9558181762695,190.776650428772,6675,2906,0,539,41
19,18,107.861,9.27119162625972,10.0,139.914,0.122,270.861694335938,167.863342285156,42.9545936584473,190.629853248596,6590,2891,0,537,27
20,19,99.9473333333333,10.0052694419061,10.0,139.914,0.122,270.867782592773,167.863342285156,42.960693359375,190.580990791321,6558,2880,0,536,25
21,20,89.9503333333304,11.1172461840056,10.0,139.914,0.122,270.861206054688,167.863342285156,42.954174041748,190.073085784912,6479,2840,0,525,23
22,21,94.4444444444444,10.5882352941176,10.0,139.914,0.122,270.554595947266,167.863342285156,42.6479911804199,190.065044403076,6453,2836,0,523,19
23,22,89.4152222222251,11.1837780541962,10.0,139.914,0.122,270.565551757812,167.863342285156,42.658805847168,190.440532684326,6616,2867,0,529,43
24,23,66.7896666666667,14.9723759663421,9.0,162.947,0.16,270.566101074219,167.863342285156,42.6593475341797,190.441909790039,6592,2867,0,531,30
25,24,75.617,13.2245394554135,9.0,162.947,0.16,270.562728881836,167.863342285156,42.6559829711914,190.381271362305,6563,2862,0,523,21
26,24,73.037,13.6916905130276,9.0,162.947,0.16,270.562530517578,167.863342285156,42.6557884216309,190.439300537109,6596,2868,0,526,29
27,25,96.99,10.3103412722961,9.0,162.947,0.16,270.562927246094,167.863342285156,42.656177520752,190.429138183594,6596,2862,0,521,32
28,26,103.706666666664,9.64258164052483,9.0,162.947,0.16,270.56364440918,167.863342285156,42.6568069458008,190.438583374023,6632,2867,0,525,43
29,27,133.333333333333,7.5,9.0,162.947,0.16,270.568283081055,167.863342285156,42.6613883972168,191.132328033447,6817,2872,0,535,96
30,28,106.81366666667,9.36209785888796,9.0,162.947,0.16,270.565139770508,167.863342285156,42.6582374572754,191.13618850708,6917,2884,0,548,99
31,29,94.43,10.5898549189876,9.0,162.947,0.16,270.56982421875,167.863342285156,42.6628646850586,191.110137939453,6884,2892,0,547,42
