render_frame,replay_frame,delta_ms,instant_fps,engine_fps,process_ms,physics_ms,video_mb,texture_mb,buffer_mb,static_mb,objects,nodes,orphans,draw_calls,tweens
1,0,133.333333333333,7.5,1.0,79.333,0.026,431.875,154.1875,58.2792701721191,134.196215629578,4477,1150,0,297,138
2,0,18.6820000000001,53.5274595867678,1.0,79.333,0.026,430.0625,154.1875,58.2736320495605,134.233412742615,4491,1152,0,299,142
3,0,4.906,203.832042397065,1.0,79.333,0.026,430.0625,154.1875,58.2736320495605,134.235018730164,4491,1152,0,299,142
4,0,4.258,234.852043212776,1.0,79.333,0.026,430.0625,154.1875,58.2736320495605,134.236426353455,4491,1152,0,299,142
5,0,4.855,205.973223480947,1.0,79.333,0.026,430.0625,154.1875,58.2736320495605,134.237879753113,4491,1152,0,299,142
6,0,5.55555555555555,180.0,1.0,79.333,0.026,430.0625,154.1875,58.2736320495605,134.239241600037,4491,1152,0,299,142
7,0,23.9481111111111,41.7569467320549,1.0,79.333,0.026,430.0625,154.1875,58.2736320495605,134.240740776062,4491,1152,0,299,142
8,0,12.5,80.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.261519432068,4498,1153,0,300,144
9,0,8.62866666666658,115.892760565558,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.262392997742,4497,1153,0,300,143
10,0,11.1111111111111,90.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.262724876404,4495,1153,0,300,142
11,0,11.1111111111111,90.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.264330863953,4495,1153,0,300,142
12,0,11.1111111111111,90.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.265936851501,4495,1153,0,300,142
13,0,11.1111111111111,90.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.267298698425,4495,1153,0,300,142
14,0,9.64555555555564,103.674691855776,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.268935203552,4495,1153,0,300,142
15,0,8.172,122.369065100343,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.270541191101,4495,1153,0,300,142
16,0,8.415,118.83541295306,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.271414756775,4494,1153,0,300,141
17,0,8.348,119.789171058936,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.272776603699,4494,1153,0,300,141
18,0,8.224,121.5953307393,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.273169517517,4492,1153,0,300,140
19,0,8.092,123.578843302027,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.274531364441,4492,1153,0,300,140
20,0,8.298,120.510966497951,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.276305198669,4492,1153,0,300,140
21,0,8.377,119.37447773666,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.277911186218,4492,1153,0,300,140
22,0,8.344,119.846596356663,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.279517173767,4492,1153,0,300,140
23,0,8.344,119.846596356663,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.280146598816,4491,1153,0,300,139
24,0,8.294,120.569086086327,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.28150844574,4491,1153,0,300,139
25,0,8.261,121.050720251786,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.282870292664,4491,1153,0,300,139
26,0,8.33333333333333,120.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.283019065857,4489,1153,0,300,138
27,0,8.33333333333333,120.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.284380912781,4489,1153,0,300,138
28,0,8.33333333333333,120.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.284689903259,4487,1153,0,300,136
29,0,8.33333333333333,120.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.287974357605,4487,1153,0,300,136
30,0,38.0743333333333,26.2644125964123,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.289336204529,4487,1153,0,300,136
31,0,15.3063333333334,65.3324331975867,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.290942192078,4487,1153,0,300,136
32,0,4.224,236.742424242424,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.267325401306,4441,1153,0,300,120
33,0,4.723,211.729832733432,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.263407707214,4432,1153,0,300,115
34,0,4.26,234.741784037559,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.264769554138,4432,1153,0,300,115
35,0,4.16666666666667,240.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.264918327332,4430,1153,0,300,114
36,0,4.16666666666667,240.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.266280174255,4430,1153,0,300,114
37,0,5.55555555555555,180.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.267642021179,4430,1153,0,300,114
38,0,4.76190476190476,210.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.269248008728,4430,1153,0,300,114
39,0,5.55555555555555,180.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.270609855652,4430,1153,0,300,114
40,0,5.55555555555555,180.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.271971702576,4430,1153,0,300,114
41,0,5.55555555555555,180.0,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.2733335495,4430,1153,0,300,114
42,0,6.54287301587302,152.838057161433,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.274695396423,4430,1153,0,300,114
43,0,8.355,119.68880909635,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.277018547058,4430,1153,0,300,114
44,0,8.356,119.674485399713,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.278380393982,4430,1153,0,300,114
45,0,8.182,122.219506233195,1.0,79.333,0.026,430.3125,154.1875,58.2738265991211,134.279742240906,4430,1153,0,300,114
46,0,8.522,117.343346632246,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.261130332947,4393,1153,0,300,102
47,0,8.241,121.34449702706,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.262492179871,4393,1153,0,300,102
48,0,8.391,119.175306876415,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.263854026794,4393,1153,0,300,102
49,0,8.26,121.065375302663,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.262942314148,4389,1153,0,300,100
50,0,8.386,119.246362985929,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.264304161072,4389,1153,0,300,100
51,0,7.977,125.360411182149,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.265666007996,4389,1153,0,300,100
52,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.267027854919,4389,1153,0,300,100
53,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.268389701843,4389,1153,0,300,100
54,0,8.66133333333333,115.455665024631,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.269751548767,4389,1153,0,300,100
55,0,8.359,119.631534872592,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.26656627655,4381,1153,0,300,96
56,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.267928123474,4381,1153,0,300,96
57,0,8.33366666666667,119.995200191992,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.269289970398,4381,1153,0,300,96
58,0,8.409,118.920204542752,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.270651817322,4381,1153,0,300,96
59,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.272013664246,4381,1153,0,300,96
60,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.273375511169,4381,1153,0,300,96
61,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.272463798523,4377,1153,0,300,94
62,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.273825645447,4377,1153,0,300,94
63,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.275187492371,4377,1153,0,300,94
64,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.277968406677,4377,1153,0,300,94
65,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.279330253601,4377,1153,0,300,94
66,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.280692100525,4377,1153,0,300,94
67,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.279780387878,4373,1153,0,300,92
68,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.284026145935,4378,1153,0,300,94
69,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.285387992859,4378,1153,0,300,94
70,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.286749839783,4378,1153,0,300,94
71,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.288111686707,4378,1153,0,300,94
72,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.28947353363,4378,1153,0,300,94
73,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.288561820984,4374,1153,0,300,92
74,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.289923667908,4374,1153,0,300,92
75,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.294169425964,4379,1153,0,300,94
76,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.295531272888,4379,1153,0,300,94
77,0,8.33333333333333,120.0,51.0,133.274,0.059,430.3125,154.1875,58.2738265991211,134.296893119812,4379,1153,0,300,94
