render_frame,replay_frame,delta_ms,instant_fps,engine_fps,process_ms,physics_ms,video_mb,texture_mb,buffer_mb,static_mb,objects,nodes,orphans,draw_calls,tweens
1,0,122.057,8.1928934841918,1.0,71.706,0.022,428.875,154.1875,58.276065826416,133.765246391296,4245,1126,0,267,90
2,0,16.6666666666667,60.0,1.0,71.706,0.022,427.5625,154.1875,58.2709197998047,133.848280906677,4252,1127,0,268,92
3,0,0.54537499090657,1833.60076401325,1.0,71.706,0.022,427.5625,154.1875,58.2709197998047,133.849642753601,4252,1127,0,268,92
4,0,16.0476250090932,62.314516910344,1.0,71.706,0.022,427.8125,154.1875,58.2711143493652,133.869124412537,4259,1128,0,269,94
5,0,4.439,225.275963054742,1.0,71.706,0.022,427.8125,154.1875,58.2711143493652,133.870577812195,4259,1128,0,269,94
6,0,5.55555555555555,180.0,1.0,71.706,0.022,427.8125,154.1875,58.2711143493652,133.871939659119,4259,1128,0,269,94
7,0,6.93344444444444,144.228457877278,1.0,71.706,0.022,427.8125,154.1875,58.2711143493652,133.873438835144,4259,1128,0,269,94
8,0,8.162,122.518990443519,1.0,71.706,0.022,427.8125,154.1875,58.2711143493652,133.875288963318,4259,1128,0,269,94
9,0,16.6836666666667,59.9388623603924,1.0,71.706,0.022,427.8125,154.1875,58.2711143493652,133.876650810242,4259,1128,0,269,94
10,0,8.30000000000019,120.481927710841,1.0,71.706,0.022,427.8125,154.1875,58.2711143493652,133.878439903259,4259,1128,0,269,94
11,0,16.5089999999998,60.5730207765468,1.0,71.706,0.022,427.8125,154.1875,58.2711143493652,133.879801750183,4259,1128,0,269,94
12,0,9.25925925925926,108.0,1.0,71.706,0.022,427.8125,154.1875,58.2711143493652,133.881407737732,4259,1128,0,269,94
13,0,15.7147407407407,63.6345210206035,1.0,71.706,0.022,427.8125,154.1875,58.2711143493652,133.883013725281,4259,1128,0,269,94
14,0,13.3333333333333,75.0,1.0,71.706,0.022,428.0625,154.1875,58.2713088989258,133.902846336365,4265,1129,0,270,95
15,0,11.8503333333335,84.3858119321525,1.0,71.706,0.022,428.0625,154.1875,58.2713088989258,133.904452323914,4265,1129,0,270,95
16,0,12.5,80.0,1.0,71.706,0.022,428.0625,154.1875,58.2713088989258,133.904601097107,4263,1129,0,270,94
17,0,12.2009999999998,81.9604950413913,1.0,71.706,0.022,428.0625,154.1875,58.2713088989258,133.905962944031,4263,1129,0,270,94
18,0,8.786,113.817436831323,1.0,71.706,0.022,428.0625,154.1875,58.2713088989258,133.907324790955,4263,1129,0,270,94
19,0,8.26,121.065375302663,1.0,71.706,0.022,428.0625,154.1875,58.2713088989258,133.908686637878,4263,1129,0,270,94
20,0,8.11,123.304562268804,1.0,71.706,0.022,428.0625,154.1875,58.2713088989258,133.910460472107,4263,1129,0,270,94
21,0,8.33333333333333,120.0,1.0,71.706,0.022,428.0625,154.1875,58.2713088989258,133.911822319031,4263,1129,0,270,94
22,0,8.33333333333333,120.0,1.0,71.706,0.022,428.0625,154.1875,58.2713088989258,133.913184165955,4263,1129,0,270,94
23,0,8.33333333333333,120.0,1.0,71.706,0.022,428.0625,154.1875,58.2713088989258,133.915644645691,4262,1129,0,270,93
24,0,21.9883333333333,45.4786629273099,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.917006492615,4262,1129,0,270,93
25,0,11.1111111111111,90.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.918368339539,4262,1129,0,270,93
26,0,8.71022222222241,114.80763343198,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.918517112732,4260,1129,0,270,92
27,0,10.3153333333331,96.9430621081902,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.919878959656,4260,1129,0,270,92
28,0,4.181,239.177230327673,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.92124080658,4260,1129,0,270,92
29,0,4.588,217.95989537925,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.923243522644,4260,1129,0,270,92
30,0,6.018,166.168162180126,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.924605369568,4260,1129,0,270,92
31,0,8.282,120.743781695243,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.925234794617,4259,1129,0,270,91
32,0,9.25925925925926,108.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.92529964447,4257,1129,0,270,89
33,0,7.42674074074074,134.648567239505,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.926661491394,4257,1129,0,270,89
34,0,8.342,119.875329657157,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.926810264587,4255,1129,0,270,88
35,0,8.361,119.602918311207,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.928172111511,4255,1129,0,270,88
36,0,8.277,120.816721034191,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.929533958435,4255,1129,0,270,88
37,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.928774833679,4251,1129,0,270,86
38,0,8.18466666666667,122.179685590942,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.920340538025,4233,1129,0,270,80
39,0,8.43166666666686,118.600513935558,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.921702384949,4233,1129,0,270,80
40,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.923064231873,4233,1129,0,270,80
41,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.924426078796,4233,1129,0,270,80
42,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.922781944275,4228,1129,0,270,77
43,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.92510509491,4228,1129,0,270,77
44,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.926466941834,4228,1129,0,270,77
45,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.926615715027,4226,1129,0,270,76
46,0,8.12333333333314,123.102174805091,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.927977561951,4226,1129,0,270,76
47,0,7.57575757575758,132.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.929339408875,4226,1129,0,270,76
48,0,7.57575757575758,132.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.930701255798,4226,1129,0,270,76
49,0,7.57575757575758,132.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.932063102722,4226,1129,0,270,76
50,0,7.57575757575758,132.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.926512718201,4213,1129,0,270,72
51,0,7.57575757575758,132.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.927874565125,4213,1129,0,270,72
52,0,7.57575757575758,132.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.929236412048,4213,1129,0,270,72
53,0,7.57575757575758,132.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.930598258972,4213,1129,0,270,72
54,0,7.57575757575758,132.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.929686546326,4209,1129,0,270,70
55,0,7.57575757575758,132.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.93104839325,4209,1129,0,270,70
56,0,8.11684848484849,123.200525655576,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.932410240173,4209,1129,0,270,70
57,0,7.57575757575758,132.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.933772087097,4209,1129,0,270,70
58,0,7.80824242424243,128.069794156913,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.935133934021,4209,1129,0,270,70
59,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.936495780945,4209,1129,0,270,70
60,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.937857627869,4209,1129,0,270,70
61,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.936945915222,4205,1129,0,270,68
62,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.938307762146,4205,1129,0,270,68
63,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.93966960907,4205,1129,0,270,68
64,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.942450523376,4205,1129,0,270,68
65,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.9438123703,4205,1129,0,270,68
66,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.945174217224,4205,1129,0,270,68
67,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.944262504578,4201,1129,0,270,66
68,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.948508262634,4206,1129,0,270,68
69,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.949870109558,4206,1129,0,270,68
70,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.951231956482,4206,1129,0,270,68
71,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.952593803406,4206,1129,0,270,68
72,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.95395565033,4206,1129,0,270,68
73,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.953043937683,4202,1129,0,270,66
74,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.954405784607,4202,1129,0,270,66
75,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.955767631531,4202,1129,0,270,66
76,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.957129478455,4202,1129,0,270,66
77,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.958491325378,4202,1129,0,270,66
78,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.959853172302,4202,1129,0,270,66
79,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.961215019226,4202,1129,0,270,66
80,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.96257686615,4202,1129,0,270,66
81,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.969706535339,4212,1129,0,270,70
82,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.971068382263,4212,1129,0,270,70
83,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.972430229187,4212,1129,0,270,70
84,0,8.33333333333333,120.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.973792076111,4212,1129,0,270,70
85,0,33.5273333333335,29.8264102920998,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.972880363464,4208,1129,0,270,68
86,0,11.1111111111111,90.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.974242210388,4208,1129,0,270,68
87,0,8.67022222222203,115.337297518969,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.975604057312,4208,1129,0,270,68
88,0,4.093,244.319569997557,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.976965904236,4208,1129,0,269,68
89,0,4.643,215.377988369589,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.97832775116,4208,1129,0,269,68
90,0,5.211,191.901746305891,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.979689598084,4208,1129,0,269,68
91,0,6.66666666666667,150.0,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.981051445007,4208,1129,0,269,68
92,0,9.60500000000019,104.11244143675,29.0,131.821,0.051,428.0625,154.1875,58.2713088989258,133.982413291931,4208,1129,0,269,68
93,0,7.14285714285714,140.0,29.0,131.821,0.051,430.875,154.1875,58.274471282959,134.693672180176,4390,1155,0,307,116
94,0,9.52380952380953,105.0,29.0,131.821,0.051,430.875,154.1875,58.274471282959,134.69510269165,4390,1155,0,307,116
95,0,7.40740740740741,135.0,29.0,131.821,0.051,430.875,154.1875,58.274471282959,134.69571685791,4386,1155,0,307,112
96,0,9.25925925925926,108.0,29.0,131.821,0.051,430.875,154.1875,58.274471282959,134.697078704834,4386,1155,0,307,112
97,0,7.57575757575758,132.0,29.0,131.821,0.051,430.875,154.1875,58.274471282959,134.698440551758,4386,1155,0,307,112
98,0,7.40740740740741,135.0,29.0,131.821,0.051,430.875,154.1875,58.274471282959,134.699802398682,4386,1155,0,307,112
99,0,7.40740740740741,135.0,29.0,131.821,0.051,430.875,154.1875,58.274471282959,134.701164245605,4386,1155,0,307,112
100,0,7.40740740740741,135.0,29.0,131.821,0.051,430.875,154.1875,58.274471282959,134.702526092529,4386,1155,0,307,112
101,0,7.40740740740741,135.0,29.0,131.821,0.051,430.875,154.1875,58.274471282959,134.703887939453,4386,1155,0,307,112
