render_frame,replay_frame,delta_ms,instant_fps,engine_fps,process_ms,physics_ms,video_mb,texture_mb,buffer_mb,static_mb,objects,nodes,orphans,draw_calls,tweens
1,0,122.256888888889,8.17949817869841,1.0,73.3,0.021,431.125,154.1875,58.2783546447754,134.033152580261,4357,1138,0,285,114
2,0,16.6666666666667,60.0,1.0,73.3,0.021,429.0625,154.1875,58.2725219726563,134.05225276947,4364,1139,0,286,116
3,0,4.76066666666666,210.054614199692,1.0,73.3,0.021,429.3125,154.1875,58.2727165222168,134.071688652039,4371,1140,0,287,118
4,0,4.245,235.571260306243,1.0,73.3,0.021,429.3125,154.1875,58.2727165222168,134.07309627533,4371,1140,0,287,118
5,0,4.652,214.961306964746,1.0,73.3,0.021,429.3125,154.1875,58.2727165222168,134.074549674988,4371,1140,0,287,118
6,0,5.55555555555555,180.0,1.0,73.3,0.021,429.3125,154.1875,58.2727165222168,134.075911521912,4371,1140,0,287,118
7,0,16.9891111111111,58.8612313769604,1.0,73.3,0.021,429.3125,154.1875,58.2727165222168,134.077410697937,4371,1140,0,287,118
8,0,8.359,119.631534872592,1.0,73.3,0.021,429.3125,154.1875,58.2727165222168,134.079260826111,4371,1140,0,287,118
9,0,16.588,60.2845430431637,1.0,73.3,0.021,429.3125,154.1875,58.2727165222168,134.080622673035,4371,1140,0,287,118
10,0,11.1111111111111,90.0,1.0,73.3,0.021,429.3125,154.1875,58.2727165222168,134.082411766052,4371,1140,0,287,118
11,0,13.9088888888889,71.8964690845183,1.0,73.3,0.021,429.3125,154.1875,58.2727165222168,134.083773612976,4371,1140,0,287,118
12,0,11.9047619047619,84.0,1.0,73.3,0.021,429.3125,154.1875,58.2727165222168,134.08562374115,4371,1140,0,287,118
13,0,11.1111111111111,90.0,1.0,73.3,0.021,429.3125,154.1875,58.2727165222168,134.086985588074,4371,1140,0,287,118
14,0,11.1111111111111,90.0,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.106818199158,4377,1141,0,288,119
15,0,11.1111111111111,90.0,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.108424186707,4377,1141,0,288,119
16,0,11.1111111111111,90.0,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.108817100525,4375,1141,0,288,118
17,0,10.3904603174603,96.2421268593444,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.110423088074,4375,1141,0,288,118
18,0,8.14,122.850122850123,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.111784934998,4375,1141,0,288,118
19,0,8.627,115.915150110119,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.113146781921,4375,1141,0,288,118
20,0,8.267,120.962864400629,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.11492061615,4375,1141,0,288,118
21,0,8.301,120.467413564631,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.116282463074,4375,1141,0,288,118
22,0,8.407,118.948495301534,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.117888450623,4375,1141,0,288,118
23,0,8.379,119.345984007638,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.118517875671,4374,1141,0,288,117
24,0,8.319,120.206755619666,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.119879722595,4374,1141,0,288,117
25,0,8.336,119.961612284069,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.121241569519,4374,1141,0,288,117
26,0,8.335,119.97600479904,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.1232213974,4372,1141,0,288,116
27,0,32.2586666666667,30.9994213441349,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.124583244324,4372,1141,0,288,116
28,0,13.1803333333333,75.8706153106902,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.126189231873,4372,1141,0,288,116
29,0,4.274,233.972859148339,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.127459526062,4371,1141,0,288,115
30,0,0.5840000230819,1712.32869944555,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.127608299255,4369,1141,0,288,114
31,0,8.33333333333333,120.0,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.127673149109,4367,1141,0,288,112
32,0,6.66666666666667,150.0,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.129279136658,4367,1141,0,288,112
33,0,8.33333333333333,120.0,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.130640983582,4367,1141,0,288,112
34,0,7.14285714285714,140.0,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.132002830505,4367,1141,0,288,112
35,0,8.33333333333333,120.0,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.133364677429,4367,1141,0,288,112
36,0,7.40740740740741,135.0,1.0,73.3,0.021,429.5625,154.1875,58.2729110717773,134.134726524353,4367,1141,0,288,112
