render_frame,replay_frame,delta_ms,instant_fps,engine_fps,process_ms,physics_ms,video_mb,texture_mb,buffer_mb,static_mb,objects,nodes,orphans,draw_calls,tweens
1,0,82.968,12.0528396490213,1.0,83.056,317.17,257.125,98.8125,25.638599395752,96.3198471069336,3203,870,0,197,2
2,1,60.323,16.5774248628218,7.0,82.914,0.027,254.8125,98.8125,25.6325721740723,96.3190231323242,3203,870,0,197,2
3,1,13.9636666666665,71.614427920079,7.0,82.914,0.027,255.0625,98.8125,25.6327667236328,96.3383598327637,3210,871,0,198,4
5,3,8.449,118.357202035744,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4134826660156,3224,873,0,198,8
6,3,8.50533333333319,117.573287349116,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4129905700684,3221,873,0,198,6
7,3,4.27166666666681,234.100663285205,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4143524169922,3221,873,0,198,6
8,3,16.649,60.0636674875368,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4158515930176,3221,873,0,198,6
9,3,13.3333333333333,75.0,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4172134399414,3221,873,0,198,6
10,3,11.1111111111111,90.0,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4185752868652,3221,873,0,198,6
11,3,8.99288888888889,111.198972027281,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4201202392578,3221,873,0,198,6
12,3,8.119,123.167877817465,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4214820861816,3221,873,0,198,6
13,4,8.61,116.144018583043,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4228439331055,3221,873,0,196,6
14,4,8.041,124.362641462505,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4242057800293,3221,873,0,196,6
15,4,8.609,116.157509582995,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4258422851563,3221,873,0,196,6
16,4,8.408,118.934348239772,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4272041320801,3221,873,0,196,6
17,4,8.221,121.639703199124,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4278335571289,3220,873,0,196,5
18,4,8.276,120.831319478009,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4291954040527,3220,873,0,196,5
19,4,8.29,120.627261761158,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4290924072266,3218,873,0,196,3
20,4,8.33333333333333,120.0,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4292411804199,3216,873,0,196,2
21,4,8.33333333333333,120.0,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4285659790039,3212,873,0,196,0
22,4,8.33333333333333,120.0,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4299278259277,3212,873,0,196,0
23,4,8.33333333333333,120.0,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4312896728516,3212,873,0,196,0
24,4,8.33333333333333,120.0,7.0,82.914,0.027,255.5625,98.8125,25.6331558227539,96.4326515197754,3212,873,0,196,0
