render_frame,replay_frame,delta_ms,instant_fps,engine_fps,process_ms,physics_ms,video_mb,texture_mb,buffer_mb,static_mb,objects,nodes,orphans,draw_calls,tweens
1,0,30.813666666667,32.4531322681491,116.0,419.139,0.041,275.375,105.0625,26.649356842041,104.732624053955,3473,1008,0,219,2
2,0,15.4713333333333,64.6356702719007,116.0,419.139,0.041,273.0625,105.0625,26.6433296203613,104.731708526611,3473,1008,0,219,2
3,0,6.997,142.918393597256,116.0,419.139,0.041,273.0625,105.0625,26.6433296203613,104.733070373535,3473,1008,0,219,2
5,2,17.641666666667,56.6839867737355,116.0,419.139,0.041,273.5625,105.0625,26.6437187194824,104.818298339844,3487,1010,0,221,6
6,2,6.996,142.938822184105,12.0,313.174,0.018,273.5625,105.0625,26.6437187194824,104.819751739502,3487,1010,0,221,6
7,2,6.985,143.163922691482,12.0,313.174,0.018,273.5625,105.0625,26.6437187194824,104.821113586426,3487,1010,0,221,6
8,2,8.342,119.875329657157,12.0,313.174,0.018,273.5625,105.0625,26.6437187194824,104.822612762451,3487,1010,0,221,6
9,2,8.33333333333333,120.0,12.0,313.174,0.018,273.5625,105.0625,26.6437187194824,104.823974609375,3487,1010,0,221,6
10,2,8.33333333333333,120.0,12.0,313.174,0.018,273.5625,105.0625,26.6437187194824,104.825336456299,3487,1010,0,221,6
11,2,8.33333333333333,120.0,12.0,313.174,0.018,273.5625,105.0625,26.6437187194824,104.826881408691,3487,1010,0,221,6
12,2,8.33333333333333,120.0,12.0,313.174,0.018,273.5625,105.0625,26.6437187194824,104.828243255615,3487,1010,0,221,6
13,2,8.33333333333333,120.0,12.0,313.174,0.018,273.5625,105.0625,26.6437187194824,104.829605102539,3487,1010,0,221,6
14,2,8.33333333333333,120.0,12.0,313.174,0.018,273.5625,105.0625,26.6437187194824,104.830966949463,3487,1010,0,221,6
15,3,8.33333333333333,120.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.849201202393,3493,1011,0,220,7
16,3,8.33333333333333,120.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.850563049316,3493,1011,0,220,7
17,3,8.33333333333333,120.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.85192489624,3493,1011,0,220,7
18,3,8.33333333333333,120.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.852073669434,3491,1011,0,220,6
19,3,7.76766666666667,128.738788997125,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.853435516357,3491,1011,0,220,6
20,3,7.57575757575758,132.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.854064941406,3490,1011,0,220,5
21,3,7.57575757575758,132.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.855838775635,3490,1011,0,220,5
22,3,7.57575757575758,132.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.857200622559,3490,1011,0,220,5
23,3,7.57575757575758,132.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.857349395752,3488,1011,0,220,4
24,3,7.57575757575758,132.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.858711242676,3488,1011,0,220,4
25,3,8.03421212121212,124.467711943997,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.8600730896,3488,1011,0,220,4
26,3,8.323,120.148984741079,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.861434936523,3488,1011,0,220,4
27,3,8.291,120.612712579906,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.862064361572,3487,1011,0,220,3
28,4,8.33333333333333,120.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.863426208496,3487,1011,0,218,3
29,4,8.33333333333333,120.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.86478805542,3487,1011,0,218,3
30,4,8.33333333333333,120.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.865577697754,3485,1011,0,218,2
31,4,8.33333333333333,120.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.866939544678,3485,1011,0,218,2
32,4,8.31966666666667,120.197123282183,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.868301391602,3485,1011,0,218,2
33,4,27.0386666666667,36.9840721929089,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.869663238525,3485,1011,0,218,2
34,4,11.1111111111111,90.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.871025085449,3485,1011,0,218,2
35,4,9.93788888888859,100.624993012156,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.872386932373,3485,1011,0,218,2
36,4,11.1111111111111,90.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.873748779297,3485,1011,0,218,2
37,5,11.1111111111111,90.0,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.875110626221,3485,1011,0,218,2
38,5,8.84244444444474,113.090899952247,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.876472473145,3485,1011,0,218,2
39,5,6.937,144.154533660084,12.0,313.174,0.018,273.8125,105.0625,26.643913269043,104.877834320068,3485,1011,0,218,2
