render_frame,replay_frame,delta_ms,instant_fps,engine_fps,process_ms,physics_ms,video_mb,texture_mb,buffer_mb,static_mb,objects,nodes,orphans,draw_calls,tweens
1,0,100.0,10.0,5.0,112.39,0.094,255.1875,98.4375,24.9528961181641,96.1882047653198,3166,831,0,191,2
2,1,60.9810000000001,16.3985503681474,5.0,112.39,0.094,252.6875,98.4375,24.9464683532715,96.1871938705444,3166,831,0,191,2
3,1,7.068,141.482739105829,5.0,112.39,0.094,252.9375,98.4375,24.946662902832,96.2065267562866,3173,832,0,192,4
5,3,17.1093333333335,58.4476309226928,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2814588546753,3187,834,0,193,8
6,3,6.265,159.616919393456,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.280966758728,3184,834,0,193,6
7,3,6.226,160.61676839062,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2823286056519,3184,834,0,193,6
8,3,6.077,164.554879052164,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2838277816772,3184,834,0,193,6
9,3,6.318,158.277936055714,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2851896286011,3184,834,0,193,6
10,3,6.66666666666667,150.0,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2865514755249,3184,834,0,193,6
11,3,6.51533333333333,153.484088816126,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2880964279175,3184,834,0,193,6
12,3,14.5046666666667,68.943328583904,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2894582748413,3184,834,0,193,6
13,4,8.33333333333333,120.0,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2908201217651,3184,834,0,190,6
14,4,16.5406666666667,60.457055338358,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.292181968689,3184,834,0,190,6
15,4,11.1111111111111,90.0,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2938184738159,3184,834,0,190,6
16,4,10.9995555555554,90.912764152088,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2951803207397,3184,834,0,190,6
17,4,10.4166666666667,96.0,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2965421676636,3184,834,0,190,6
18,4,6.25,160.0,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2957067489624,3181,834,0,190,3
19,4,10.0,100.0,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2970685958862,3181,834,0,190,3
20,4,10.0,100.0,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2972173690796,3179,834,0,190,2
21,4,10.0,100.0,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2965421676636,3175,834,0,190,0
22,4,10.0,100.0,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2979040145874,3175,834,0,190,0
23,5,10.0,100.0,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.2992658615112,3175,834,0,191,0
24,5,10.0,100.0,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.3006277084351,3175,834,0,191,0
25,5,9.53733333333347,104.85111142178,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.3019895553589,3175,834,0,191,0
26,5,8.267,120.962864400629,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.3033514022827,3175,834,0,191,0
27,5,8.329,120.062432464882,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.3047132492065,3175,834,0,191,0
28,5,8.435,118.5536455246,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.3060750961304,3175,834,0,191,0
29,5,8.261,121.050720251786,5.0,112.39,0.094,253.4375,98.4375,24.9470520019531,96.3074369430542,3175,834,0,191,0
