render_frame,replay_frame,delta_ms,instant_fps,engine_fps,process_ms,physics_ms,video_mb,texture_mb,buffer_mb,static_mb,objects,nodes,orphans,draw_calls,tweens
1,0,35.011,28.5624518008626,115.0,320.683,0.114,273.5,107.3125,25.998966217041,106.740368843079,3541,958,0,212,2
2,0,16.0023333333333,62.4908867456829,115.0,320.683,0.114,271.0,107.3125,25.9925384521484,106.739235877991,3541,958,0,212,2
3,0,7.318,136.649357748019,115.0,320.683,0.114,271.0,107.3125,25.9925384521484,106.740597724915,3541,958,0,212,2
5,2,19.2176666666668,52.0354534889768,115.0,320.683,0.114,271.5,107.3125,25.9929275512695,106.82396030426,3555,960,0,214,6
6,2,14.1156666666666,70.8432710699701,115.0,320.683,0.114,271.5,107.3125,25.9929275512695,106.825413703918,3555,960,0,214,6
7,2,0.88800000958145,1126.12611397532,115.0,320.683,0.114,271.5,107.3125,25.9929275512695,106.826775550842,3555,960,0,214,6
8,2,16.6666666666667,60.0,115.0,320.683,0.114,271.5,107.3125,25.9929275512695,106.828274726868,3555,960,0,214,6
9,2,8.33333333333333,120.0,115.0,320.683,0.114,271.5,107.3125,25.9929275512695,106.829636573792,3555,960,0,214,6
10,2,10.0,100.0,115.0,320.683,0.114,271.5,107.3125,25.9929275512695,106.830998420715,3555,960,0,214,6
11,2,14.1119999904186,70.8616780526472,115.0,320.683,0.114,271.5,107.3125,25.9929275512695,106.832543373108,3555,960,0,214,6
12,2,8.08366666666678,123.706238917981,115.0,320.683,0.114,271.5,107.3125,25.9929275512695,106.833905220032,3555,960,0,214,6
13,3,8.657,115.513457317778,115.0,320.683,0.114,271.75,107.3125,25.9931221008301,106.851864814758,3561,961,0,212,7
14,3,7.798,128.238009746089,115.0,320.683,0.114,271.75,107.3125,25.9931221008301,106.853226661682,3561,961,0,212,7
15,3,10.0,100.0,115.0,320.683,0.114,271.75,107.3125,25.9931221008301,106.854863166809,3561,961,0,212,7
16,3,9.52380952380952,105.0,115.0,320.683,0.114,271.75,107.3125,25.9931221008301,106.855011940002,3559,961,0,212,6
17,3,8.05819047619048,124.097339589415,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.856373786926,3559,961,0,212,6
18,3,7.518,133.014099494546,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.85773563385,3559,961,0,212,6
19,3,7.384,135.427952329361,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.858365058899,3558,961,0,212,5
20,3,8.572,116.658889407373,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.859726905823,3558,961,0,212,5
21,3,7.506,133.226751931788,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.861500740051,3558,961,0,212,5
22,3,8.33333333333333,120.0,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.861649513245,3556,961,0,212,4
23,3,7.57575757575758,132.0,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.863011360168,3556,961,0,212,4
24,3,7.57575757575758,132.0,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.864373207092,3556,961,0,212,4
25,3,7.57575757575758,132.0,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.865735054016,3556,961,0,212,4
26,4,7.57575757575758,132.0,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.866364479065,3555,961,0,214,3
27,4,7.57575757575758,132.0,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.867726325989,3555,961,0,214,3
28,4,7.57575757575758,132.0,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.869088172913,3555,961,0,214,3
29,4,24.1374545454546,41.4293892554762,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.870450019836,3555,961,0,214,3
30,4,11.1111111111111,90.0,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.87123966217,3553,961,0,214,2
31,4,11.1111111111111,90.0,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.872601509094,3553,961,0,214,2
32,4,11.1111111111111,90.0,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.873963356018,3553,961,0,214,2
33,4,11.1111111111111,90.0,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.875325202942,3553,961,0,214,2
34,4,10.2102222222222,97.9410612458103,22.0,300.835,0.151,271.75,107.3125,25.9931221008301,106.876687049866,3553,961,0,214,2
35,5,9.912,100.88781275222,22.0,300.835,0.151,273.25,107.3125,26.0003547668457,107.08873462677,3632,976,0,218,11
36,5,7.588,131.787032156036,22.0,300.835,0.151,273.25,107.3125,26.0003547668457,107.106087684631,3632,976,0,218,11
37,5,7.743,129.148908691722,22.0,300.835,0.151,273.25,107.3125,26.0003547668457,107.107449531555,3632,976,0,218,11
38,5,8.863,112.828613336342,22.0,300.835,0.151,274.75,107.3125,26.0075874328613,107.22988986969,3677,985,0,224,17
39,5,7.602,131.544330439358,22.0,300.835,0.151,274.75,107.3125,26.0075874328613,107.231251716614,3677,985,0,224,17
40,5,7.878,126.935770500127,22.0,300.835,0.151,274.75,107.3125,26.0075874328613,107.232613563538,3677,985,0,224,17
41,5,7.7,129.87012987013,22.0,300.835,0.151,274.75,107.3125,26.0075874328613,107.233975410461,3677,985,0,224,17
42,5,8.425,118.694362017804,22.0,300.835,0.151,275.5,107.3125,26.0080337524414,107.342541694641,3742,1000,0,236,25
43,5,7.733,129.315918789603,22.0,300.835,0.151,275.5,107.3125,26.0080337524414,107.340264320374,3736,1000,0,236,22
44,5,7.703,129.819550824354,22.0,300.835,0.151,275.5,107.3125,26.0080337524414,107.342587471008,3736,1000,0,236,22
45,5,8.212,121.773015099854,22.0,300.835,0.151,275.5,107.3125,26.0080337524414,107.342736244202,3734,1000,0,236,21
46,5,7.997,125.046892584719,22.0,300.835,0.151,275.5,107.3125,26.0080337524414,107.344098091125,3734,1000,0,236,21
47,6,9.09090909090909,110.0,22.0,300.835,0.151,285.75,107.3125,26.050163269043,108.963426589966,4263,1078,0,267,96
48,6,11.2057575757575,89.2398388274435,22.0,300.835,0.151,284.8125,107.3125,26.0388679504395,108.98183631897,4263,1078,0,268,96
49,6,9.09090909090909,110.0,22.0,300.835,0.151,284.8125,107.3125,26.0388679504395,108.961717605591,4265,1072,0,262,97
50,6,9.16975757575769,109.0541371174,22.0,300.835,0.151,288.3125,107.3125,26.0557441711426,109.238492965698,4351,1093,0,276,104
51,6,9.804,101.999184006528,22.0,300.835,0.151,288.3125,107.3125,26.0557441711426,109.230638504028,4348,1090,0,274,104
52,6,9.191,108.802089000109,22.0,300.835,0.151,288.3125,107.3125,26.0557441711426,109.233488082886,4339,1090,0,277,101
