render_frame,replay_frame,delta_ms,instant_fps,engine_fps,process_ms,physics_ms,video_mb,texture_mb,buffer_mb,static_mb,objects,nodes,orphans,draw_calls,tweens
1,0,27.5383333333333,36.3130182170308,110.0,431.581,0.076,273.375,105.0625,26.649356842041,106.037442207336,3505,1008,0,219,2
2,0,13.4626666666667,74.2794889571159,110.0,431.581,0.076,271.0625,105.0625,26.6433296203613,106.036526679993,3505,1008,0,219,2
3,0,0.84762502228841,1179.76696499616,110.0,431.581,0.076,271.0625,105.0625,26.6433296203613,106.037888526917,3505,1008,0,219,2
5,1,7.566,132.170235263019,110.0,431.581,0.076,271.3125,105.0625,26.6435241699219,106.105759620667,3512,1009,0,220,4
6,1,14.8186666666666,67.4824545618142,110.0,431.581,0.076,271.3125,105.0625,26.6435241699219,106.107213020325,3512,1009,0,220,4
7,2,3.69933333333338,270.318976392139,110.0,431.581,0.076,271.5625,105.0625,26.6437187194824,106.12584400177,3519,1010,0,221,6
8,2,12.9673333333333,77.1168577451034,110.0,431.581,0.076,271.5625,105.0625,26.6437187194824,106.127343177795,3519,1010,0,221,6
9,2,10.0,100.0,15.0,315.668,0.344,271.5625,105.0625,26.6437187194824,106.128705024719,3519,1010,0,221,6
10,2,11.1111111111111,90.0,15.0,315.668,0.344,271.5625,105.0625,26.6437187194824,106.130066871643,3519,1010,0,221,6
11,2,9.52380952380952,105.0,15.0,315.668,0.344,271.5625,105.0625,26.6437187194824,106.131611824036,3519,1010,0,221,6
12,2,7.48407936507942,133.616968930872,15.0,315.668,0.344,271.5625,105.0625,26.6437187194824,106.132973670959,3519,1010,0,221,6
13,2,11.8809999999999,84.1679993266564,15.0,315.668,0.344,271.5625,105.0625,26.6437187194824,106.134335517883,3519,1010,0,221,6
14,2,10.0,100.0,15.0,315.668,0.344,271.5625,105.0625,26.6437187194824,106.135697364807,3519,1010,0,221,6
15,2,10.0,100.0,15.0,315.668,0.344,271.5625,105.0625,26.6437187194824,106.137333869934,3519,1010,0,221,6
16,2,8.49900000000005,117.660901282503,15.0,315.668,0.344,271.5625,105.0625,26.6437187194824,106.138695716858,3519,1010,0,221,6
17,3,8.723,114.639458901754,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.156655311584,3525,1011,0,220,7
18,3,9.52380952380952,105.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.158017158508,3525,1011,0,220,7
19,3,9.00519047619048,111.047068093005,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.158165931702,3523,1011,0,220,6
20,3,7.306,136.873802354229,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.159527778625,3523,1011,0,220,6
21,3,7.709,129.718510831496,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.161301612854,3523,1011,0,220,6
22,3,7.94,125.944584382872,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.162663459778,3523,1011,0,220,6
23,3,8.943,111.819300011182,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.164025306702,3523,1011,0,220,6
24,3,7.394,135.244793075467,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.165387153625,3523,1011,0,220,6
25,3,8.269,120.93360744951,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.166749000549,3523,1011,0,220,6
26,3,8.311,120.322464204067,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.168110847473,3523,1011,0,220,6
27,3,8.316,120.25012025012,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.169472694397,3523,1011,0,220,6
28,3,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.170102119446,3522,1011,0,220,5
29,4,8.31866666666667,120.211572367367,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.17146396637,3522,1011,0,218,5
30,4,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.172253608704,3520,1011,0,218,4
31,4,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.173615455627,3520,1011,0,218,4
32,4,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.174977302551,3520,1011,0,218,4
33,4,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.176339149475,3520,1011,0,218,4
34,4,17.157,58.2852480037302,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.177700996399,3520,1011,0,218,4
35,4,9.09090909090909,110.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.179062843323,3520,1011,0,218,4
36,4,9.09090909090909,110.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.179692268372,3519,1011,0,218,3
37,4,9.09090909090909,110.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.181054115295,3519,1011,0,218,3
38,4,9.09090909090909,110.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.181202888489,3517,1011,0,218,2
39,5,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.182564735413,3517,1011,0,218,2
40,5,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.183926582336,3517,1011,0,218,2
41,5,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.18528842926,3517,1011,0,218,2
42,5,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.186650276184,3517,1011,0,218,2
43,5,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.188012123108,3517,1011,0,218,2
44,5,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.190335273743,3517,1011,0,218,2
45,5,7.5100303030303,133.155254992313,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.191697120667,3517,1011,0,218,2
46,5,6.804,146.972369194591,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.19305896759,3517,1011,0,218,2
47,5,7.288,137.211855104281,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.194420814514,3517,1011,0,218,2
48,5,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.195050239563,3516,1011,0,218,1
49,5,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.196412086487,3516,1011,0,218,1
50,5,8.31533333333334,120.259761083941,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.197773933411,3516,1011,0,218,1
51,5,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.19789981842,3514,1011,0,218,0
52,6,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.199261665344,3514,1011,0,219,0
53,6,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.200623512268,3514,1011,0,219,0
54,6,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.201985359192,3514,1011,0,219,0
55,6,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.206254005432,3519,1011,0,219,2
56,6,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.207615852356,3519,1011,0,219,2
57,6,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.20897769928,3519,1011,0,219,2
58,6,8.33333333333333,120.0,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.210339546204,3519,1011,0,219,2
59,6,8.32033333333333,120.187492488282,15.0,315.668,0.344,271.8125,105.0625,26.643913269043,106.211701393127,3519,1011,0,219,2
